"","次数","出次数","入次数","近接性","媒介性"
"Gポイント",24,1,23,1,9.33333333333333
"ネットマイル",15,1,14,1,9.33333333333333
"PeX",27,1,26,1,8.5
".money",22,1,21,1,7.16666666666667
"SBIポイント",4,2,2,0.5,3.33333333333333
"エルネ",5,4,1,0.25,2.33333333333333
"RealPay（旧PointExchange）",8,1,7,1,2
"ポイントタウン",4,3,1,0.333333333333333,1
"ちょコムポイント",4,1,3,0.333333333333333,1
"JRキューポ",2,1,1,0.333333333333333,1
"ティーポイント",1,1,0,1,0
"わくわくポイント",2,2,0,0.5,0
"ちょびリッチポイント",5,5,0,0.2,0
"マクロミルポイント",3,3,0,0.333333333333333,0
"CMポイント",2,2,0,0.5,0
"colleeeポイント（予想ネットポイント）",3,3,0,0.333333333333333,0
"ポケット・ポイント",2,2,0,0.5,0
"ワラウポイント",4,4,0,0.25,0
"ポイントモンキー",3,3,0,0.333333333333333,0
"ドリームポイント",3,3,0,0.2,0
